"","V1","V2"
"12","RUBIO"," Well, I understand why they feel that way, because this president hasnt kept us safe. The problem is we had an attack in San Bernardino. And we were paying attention to the most important issue we have faced in a decade since 9/11, and then all the talk was about this proposal, which isnt going to happen.But this is whats important to do is we must deal frontally with this threat of radical Islamists, especially from ISIS. This is the most sophisticated terror group that has ever threatened the world or the United States of America. They are actively recruiting Americans. The attacker in San Bernardino was an American citizen, born and raised in this country. He was a health inspector; had a newborn child and left all that behind to kill 14 people.We also understand that this is a group thats growing in its governance of territory. Its not just Iraq and Syria. They are now a predominant group in Libya. They are beginning to pop up in Afghanistan. They are increasingly involved now in attacks in Yemen. They have Jordan in their sights.This group needs to be confronted with serious proposals. And this is a very significant threat we face. And the president has left us unsafe. He spoke the other night to the American people to reassure us. I wish he hadnt spoken at all. He made things worse. Because what he basically said was we are going to keep doing what were doing now, and what we are doing now is not working. 
BLITZER: Hugh Hewitt, you have a question.
HEWITT: Senator Cruz, youve said you disagree with Mr. Trumps policy. I dont want a cage match; youve tweeted you dont want a cage match. But Republican primary voters deserve to know, with the kind of specificity and responsiveness you delivered in your nine Supreme Court arguments, how you disagree with Mr. Trump. Would you spell that out with us?"
"13","CRUZ"," Well, listen, Hugh, everyone understands why Donald has suggested what he has. Were looking at a president whos engaged in this double-speak where he doesnt call radical Islamic terrorism by its name. Indeed, he gives a speech after the San Bernardino attack where his approach is to try to go after the constitutional rights of law-abiding citizens rather than to keep us safe.And even worse, President Obama and Hillary Clinton are proposing bringing tens of thousands of Syrian refugees to this country when the head of the FBI has told Congress they cannot vet those refugees.I understand why Donald made that proposal. I introduced legislation in the Senate that I believe is more narrowly focused at the actual threat, which is radical Islamic terrorism, and what my legislation would do is suspend all refugees for three years from countries where ISIS or Al Qaida control substantial territory.
HEWITT: So youre saying you disagree because hes too broad and you have a narrower focus? Why do you disagree with him?
CRUZ: Well, you know, Im reminded of what FDRs grandfather said. He said, ""All horse-thieves are Democrats, but not all Democrats are horse-thieves."" In this instance, there are millions of peaceful Muslims across the world, in countries like India, where there is not the problems we are seeing in nations that are controlled have territory controlled by Al Qaida or ISIS, and we should direct at the problem, focus on the problem, and defeat radical Islamic terrorism. Its not a war on a faith; its a war on a political and theocratic ideology that seeks to murder us.
HEWITT: Carly Fiorina...  ... this is the Christmas dinner debate. This will be the debate that Americans talk about at Christmas. And thus far, in the first 10 minutes, we havent heard a lot about Ronald Reagans city on a hill. Weve heard a lot about keeping Americans out or keeping Americans safe and everyone else out. Is this what you want the party to stand for?"
"14","FIORINA"," What I think we need to stand for are solutions. I offer myself as a leader to the people of this country because I think theyre looking for solutions, not lawyers arguing over laws or entertainers throwing out sound bites that draw media attention. We need to solve the problem.To solve the problem, we need to do something here at home and something over there in their caliphate. We need to deny them territory.But here at home, we need to do two fundamental things. Number one, we need to recognize that technology has moved on. The Patriot Act was signed in 2001, roughly. The iPhone was invented in 2007. The iPad was invented in 2011. Snapchat and Twitter, all the rest of it, have been around just for several years. Technology has moved on, and the terrorists have moved on with it.Let me tell you a story. Soon after 9/11, I got a phone call from the NSA. They needed help. I gave them help. I stopped a truckload of equipment. I had it turned around. It was escorted by the NSA into headquarters. We need the private sectors help, because government is not innovating. Technology is running ahead by leaps and bound. The private sector will help, just as I helped after 9/11. But they must be engaged, and they must be asked. I will ask them. I know them. "
"15","BLITZER"," Governor Christie, Americans are clearly more afraid today than at any time since 9/11. As you mentioned in your opening statement, today in Los Angeles, 650 schoolchildren didnt go to 650,000 schoolchildren didnt go to school because of an e-mail threat, this two weeks after an attack killed 14 people in San Bernardino. Is this the new normal? And if so, what steps would you take as president of the United States to ensure that fear does not paralyze America?"
"16","CHRISTIE"," Wolf, unfortunately, its the new normal under Barack Obama and Hillary Clinton. The fact is that if you listen to Hillary Clinton the other day, what she said to the American people was, as regards to ISIS, my strategy would be just about the same as the presidents.Just about the same as the presidents? We have people across this country who are scared to death. Because I could tell you this, as a former federal prosecutor, if a center for the developmentally disabled in San Bernardino, California, is now a target for terrorists, that means everywhere in America is a target for these terrorists.Now, I spent seven years of my life in the immediate aftermath of September 11th doing this work, working with the Patriot Act, working with our law enforcement, working with the surveillance community to make sure that we keep America safe.What we need to do, Wolf, is restore those tools that have been taken away by the president and others, restore those tools to the NSA and to our entire surveillance and law enforcement community.We need a president who is going to understand what actionable intelligence looks like and act on it. And we need a president and a cabinet who understands that the first and most important priority of the president of the United States is to protect the safety and security of Americans.As someone who has done it, I will make sure it gets done again. 
BLITZER: Thank you.Governor Kasich, one of the killers in San Bernardino was an American who was not on anyones watch list. How are you going to find that radicalized person and stop another such attack?"
"17","KASICH"," Well, first of all, Wolf, I said last February that we needed to have people on the ground, troops on the ground in a coalition similar to what we had in the first Gulf War.I remember when the Egyptian ambassador to the United States stood in the Rose Garden and pledged Arab commitment to removing Saddam Hussein from Kuwait. Before we came out here tonight, I am told that the Saudis have organized 34 countries who want to join in the battle against terrorism.First and foremost, we need to go and destroy ISIS. And we need to do this with our Arab friends and our friends in Europe.And when I see they have a climate conference over in Paris, they should have been talking about destroying ISIS because they are involved in virtually every country, you know, across this world. Now, you destroy ISIS in a coalition. You get joint intelligence with our European friends. And then here at home, there are things called the Joint Terrorism Task Force, headed by the FBI, and made up of local law enforcement, including state police.They need the tools. And the tools involve encryption where we cannot hear what theyre even planning. And when we see red flags, a father, a mother, a neighbor who says we have got a problem here, then we have to give law enforcement the ability to listen so they can disrupt these terrorist attacks before they occur.We can do this, but weve got to get moving. Pay me now or pay me a lot more later. This is the direction we need to go. "
"18","BLITZER"," Thank you.Dana Bash, you have the next question."
"19","BASH"," A crucial question is how to balance surveillance with privacy and keeping Americans safe.Senator Cruz, you voted for a bill that President Obama signed into law just this past June that made it harder for the government to access Americans phone records. In light of the San Bernardino attack, was your vote a mistake?
CRUZ: Well, Dana, the premise of your question is not accurate. Im very proud to have joined with conservatives in both the Senate and the House to reform how we target bad guys.And what the USA Freedom Act did is it did two things. Number one, it ended the federal governments bulk collection of phone metadata of millions of law-abiding citizens.But number two in the second half of it that is critical. It strengthened the tools of national security and law enforcement to go after terrorists. It gave us greater tools and we are seeing those tools work right now in San Bernardino.And in particular, what it did is the prior program only covered a relatively narrow slice of phone calls. When you had a terrorist, you could only search a relatively narrow slice of numbers, primarily land lines.The USA Freedom Act expands that so now we have cell phones, now we have Internet phones, now we have the phones that terrorists are likely to use and the focus of law enforcement is on targeting the bad guys.You know what the Obama administration keeps getting wrong is whenever anything bad happens they focus on law-abiding citizens instead of focusing on the bad guys.We need to focus on radical Islamic terrorists and we need to stop them before they carry out acts of terror. 
BASH: Thank you.Senator Rubio, Senator Cruz is right there was bipartisan support for that. But you voted against it. So, is Senator Cruz wrong?
RUBIO: He is and so are those that voted for it. There were some that voted for it because they wanted to keep it alive and they were afraid the whole program would expire.Heres the world we live in. This is a radical jihadist group that is increasingly sophisticated in its ability, for example, to radicalize American citizens, in its inability to exploit loopholes in our legal immigration system, in its ability to capture and hold territory in the Middle East, as I outlined earlier, in multiple countries.This is not just the most capable, it is the most sophisticated terror threat we have ever faced. We are now at a time when we need more tools, not less tools. And that took we lost, the metadata program, was a valuable tool that we no longer have at our disposal."
"20","BASH"," Senator Cruz?"
"21","CRUZ"," Well, you know, I would note that Marco knows what hes saying isnt true. You know, Mark Levin wrote a column last week that says that the attack ads his Super PAC is running that are saying the same thing, that they are knowingly false and they are, in fact, Alinsky-like attacks like Barack Obama.And the reason is simple. What he knows is that the old program covered 20 percent to 30 percent of phone numbers to search for terrorists. The new program covers nearly 100 percent. That gives us greater ability to stop acts of terrorism, and he knows that thats the case.
RUBIO: Dana, may I interject here?
BASH: Senator Senator  Senator Rubio, please respond.
RUBIO: Let me be very careful when answering this, because I dont think national television in front of 15 million people is the place to discuss classified information. So let me just be very clear. There is nothing that we are allowed to do under this bill that we could not do before.This bill did, however, take away a valuable tool that allowed the National Security Agency and other law and other intelligence agencies to quickly and rapidly access phone records and match them up with other phone records to see who terrorists have been calling. Because I promise you, the next time there is attack on an attack on this country, the first thing people are going to want to know is, why didnt we know about it and why didnt we stop it? And the answer better not be because we didnt have access to records or information that would have allowed us to identify these killers before they attacked.
BASH: Senator Paul, Senator Paul, I know this is this has been a very big issue for you. You hear many of your colleagues are calling for increased surveillance by law enforcement. You call that hogwash. Why is that hogwash?
PAUL: You know, I think Marco gets it completely wrong. We are not any safer through the bulk collection of all Americans records. In fact, I think were less safe. We get so distracted by all of the information, were not spending enough time getting specific immigration specific information on terrorists.The other thing is, is the one thing that might have stopped San Bernardino, that might have stopped 9/11 would have been stricter controls on those who came here. And Marco has opposed at every point increased security border security for those who come to our country.On his Gang of Eight bill, he would have liberalized immigration, but he did not and he steadfastly opposed any new border security requirements for refugees or students.Last week, I introduced another bill saying we need more security, we need more scrutiny. Once again, Marco opposed this. So Marco cant have it both ways. He thinks he wants to be this, ""Oh, Im great and strong on national defense. But he's the weakest of all the candidates on immigration. He is the one for an open border that is leaving us defenseless. If we want to defend the country, we have to defend against who's coming in, and Marco is has more of an allegiance to Chuck Schumer and to the liberals than he does to conservative policy. 
BASH: Senator Rubio?
RUBIO: I want to thank Rand for another 30 seconds, because, number one, what he's pointing to is a bill last week that amendment that he voted for that only 10 people voted for. You know why? Because it's not focused on terrorists. It would have banned anyone from coming here. Someone from Taiwan would not have been able to come here as a tourist.Number two, this program, this metadata program is actually more strict than what a regular law enforcement agency has now. If a regular law enforcement agency wants your phone records, all they have to do is issue a subpoena. But now the intelligence agency is not able to quickly gather records and look at them to see who these terrorists are calling. And the terrorists that attacked us in San Bernardino was an American citizen, born and raised in this country. And I bet you we wish we would have had access to five years of his records so we could see who he was working with...
BASH: Governor Christie, Governor Christie...  ...Governor Christie, I'll come to you in a minute. Go ahead, Senator Paul.
PAUL: If I was mentioned in the question, can I respond?
BASH: Go ahead, please.
PAUL: Marco still misunderstands the immigration issue. What I put forward was an amendment that would have temporarily halted immigration from high-risk terrorist countries, but would have started it up, but I wanted them to go through Global Entry, which is a program where we do background checks.The thing is, is that every terrorist attack we've had since 9/11 has been legal immigration. Marco wants to expand that. I want more rules, more scrutiny, and to defend the country, you have to defend the border. 
BASH: Senator, we're going to talk about immigration in a while. But, Governor Christie, just listening to this...
RUBIO: Do I get another 30 seconds? He mentioned me.
BASH: Listening to this, you talked you heard Senator Paul, Senator Cruz talk about how important it is to protect Americans' privacy, even in a time of grave danger. Why what's wrong with that?
CHRISTIE: Listen, I want to talk to the audience at home for a second. If your eyes are glazing over like mine, this is what it's like to be on the floor of the United States Senate. I mean, endless debates about how many angels on the head of a pin from people who've never had to make a consequential decision in an executive position.The fact is, for seven years, I had to make these decisions after 9/11, make a decision about how to proceed forward with an investigation or how to pull back, whether you use certain actionable intelligence or whether not to. And yet they continue to debate about this bill and in the subcommittee and what nobody in America cares about that.What they care about is, are we going to have a president who actually knows what they're doing to make these decisions? And for the seven years afterwards, New Jersey was threatened like no other region in this country and what we did was we took action within the constitution to make sure that law enforcement had all the information they needed.We prosecuted two of the biggest terrorism cases in the world and stopped Fort Dix from being attacked by six American radicalized Muslims from a Mosque in New Jersey because we worked with the Muslim American community to get intelligence and we used the Patriot Act to get other intelligence to make sure we did those cases. This is the difference between actually been a federal prosecutor, actually doing something, and not just spending your life as one of hundred debating it.Let's talk about how we do this, not about which bill, which one these guys like more. The American people don't care about that.
BLITZER: Thank you.Dr. Carson, you're in favor of monitoring mosques and schools where there is anti-America sentiment, what do you consider anti- America?
CARSON: First of all, let me just complain a little bit. This is the first time I've spoken and several people have had multiple questions so please try to pay attention to that. Now, as far as monitoring is concerned, what my point is, we need to make sure that any place I don't care whether it's a mosque, a school, a supermarket, a theater, you know it doesn't matter. If there are a lot of people getting there and engaging in radicalizing activities then we need to be suspicious of it.We have to get rid of all this PC stuff. And people are worried about if somebody's going to say that I'm Islamophobic or what have you. This is craziness because we are at war. That's why I asked congress, go ahead and declare the war .We need to be on a war footing. We need to understand that our nation is in grave danger. You know, what the Muslim Brotherhood said in the explanatory memorandum that was discovered during the Holy Land Foundation Trial was that, they will take advantage of our PC attitude to get us. We have to be better than this. We have to be smarter than they are.
BLITZER: Dr. Carson, who was right in that little debate that we just heard between Senator Rubio and Senator Paul?
CARSON: I think you have to ask them about that. I don't want to get in between them. Let them fight.
BLITZER: Hold on a sec, we have a lot more to come and everybody's going to have their full opportunity.Governor Bush, six days after 9/11 your brother visited a mosque and said quote, Islam is peace. The conversation tonight is about banning Muslims and surveillance of mosques, are President Bush's words still relevant in today's Republican party?
BUSH: They are reverent if we want to destroy ISIS. If we want to destroy radical Islamic terrors, we can't disassociate ourselves from peace loving Muslims. If we expect to do this on our own, we will fail but if we do it in unison with people who are also are at risk and threatened by Islamic Radical terrorism, we'll be far more successful.Look, the FBI has the tools necessary un-American activities in our country. It goes on, we shouldn't even be talking about it, to be honest with you out in the public. Of course they have those capabilities and we should make sure that we give the FBI, the NSA, our intelligence communities, all the resources they need to keep us safe.But the main thing we should be focused on is the strategy to destroy ISIS. And I laid out a plan that the Reagan Library before the tragedy of Paris, and before San Bernardino to do just that. It requires leadership, it's not filing an amendment and call it a success.It is developing a strategy, leading the world, funding it to make sure that we have a military that's second to none, and doing the job and making sure that we destroy ISIS there. That's how you keep America safe.
BLITZER: Ms. Fiorina, as you pointed out you were a CEO in Silicon Valley on 9/11. Companies there, they say they won't help the FBI now crack encrypted communication from ISIS, should they be forced to.
FIORINA: You know, listening to this conversation, let me just say, we have a lot of argument about laws but none of it solves the problem. Let's examine what happened, why did we miss the Tsarnaev brothers, why did we miss the San Bernardino couple? It wasn't because we had stopped collected metadata it was because, I think, as someone who comes from the technology world, we were using the wrong algorithms.This is a place where the private sector could be helpful because the government is woefully behind the technology curve. But secondly, the bureaucratic processes that have been in place since 9/11 are woefully inadequate as well. What do we now know? That DHS vets people by going into databases of known or suspected terrorists.And yet, we also know that ISIS is recruiting who are not in those databases. So of course, we're going to miss them. And then we now learn that DHS says, No, we cant check their social media.""For heavens sakes, every parent in America is checking social media and every employer is as well, but our government cant do it. The bureaucratic procedures are so far behind. Our government has become incompetent, unresponsive, corrupt. And that incompetence, ineptitude, lack of accountability is now dangerous.It is why we need a different kind of leadership in the White House that understands how to get bureaucracies competent again.
BLITZER: But my question was Should these Silicon Valley companies be forced to cooperate with the FBI?
FIORINA: They do not need to be forced. They need to be asked to bring the best and brightest, the most recent technology to the table. I was asked as a CEO. I complied happily. And they will as well. But they have not been asked. Thats why it cost billions of dollars to build an Obama website that failed because the private sector wasnt asked. 
BLITZER: Mr. Trump, you recently suggested closing that Internet up, those were your words, as a way to stop ISIS from recruiting online. Are you referring to closing down actual portions of the Internet? Some say that would put the U.S. in line with China and North Korea.
TRUMP: Well, look, this is so easy to answer. ISIS is recruiting through the Internet. ISIS is using the Internet better than we are using the Internet, and it was our idea. What I wanted to do is I wanted to get our brilliant people from Silicon Valley and other places and figure out a way that ISIS cannot do what theyre doing.You talk freedom of speech. You talk freedom of anything you want. I dont want them using our Internet to take our young, impressionable youth and watching the media talking about how theyre masterminds these are masterminds. They shouldnt be using the word ""mastermind."" These are thugs. These are terrible people in ISIS, not masterminds. And we have to change it from every standpoint. But we should be using our brilliant people, our most brilliant minds to figure a way that ISIS cannot use the Internet. And then on second, we should be able to penetrate the Internet and find out exactly where ISIS is and everything about ISIS. And we can do that if we use our good people. 
BLITZER: Let me follow up, Mr. Trump.So, are you open to closing parts of the Internet?
TRUMP: I would certainly be open to closing areas where we are at war with somebody. I sure as hell dont want to let people that want to kill us and kill our nation use our Internet. Yes, sir, I am."
"22","BLITZER"," Thank you.Governor Kasich, is shutting down any part of the Internet a good idea?"
"23","KASICH"," No, I dont think it is. And I want to go back to two other issues. One is the metadata. We know we have to hold this data for a longer period of time. And, you know, in a lot of ways, Chris is right. Look, what a president has to do is take a position. We dont want to err on the side of having less. We want to err on the side of having more. Thats good for our families.In addition to that, Wolf, there is a big problem. Its called encryption. And the people in San Bernardino were communicating with people who the FBI had been watching. But because their phone was encrypted, because the intelligence officials could not see who they were talking to, it was lost.We have to solve the encryption problem. It is not easy. A president of the United States, again, has to bring people together, have a position. We need to be able to penetrate these people when they are involved in these plots and these plans. And we have to give the local authorities the ability to penetrate to disrupt. Thats what we need to do. Encryption is a major problem, and Congress has got to deal with this and so does the president to keep us safe. 
BLITZER: Thank you, Governor.The fight against radical Islamic terrorists and ISIS has been called the war of our time. So lets talk about how each of you, as commander in chief, would fight this war and win it.Senator Cruz, you have said you would, quote, carpet bomb ISIS into oblivion, testing whether, quote, sand can glow in the dark. Does that mean leveling the ISIS capital of Raqqa in Syria where there are hundreds of thousands of civilians?"
"24","CRUZ"," What it means is using overwhelming air power to utterly and completely destroy ISIS. To put things in perspective, in the first Persian Gulf War, we launched roughly 1,100 air attacks a day. We carpet bombed them for 36 days, saturation bombing, after which our troops went in and in a day and a half mopped up what was left of the Iraqi army.Right now, Obama is launching between 15 and 30 air attacks a day. It is photo op foreign policy. We need to use overwhelming air power. We need to be arming the Kurds. We need to be fighting and killing ISIS where they are.And let me go back to the earlier discussion a minute ago. Its not a lack of competence that is preventing the Obama administration from stopping these attacks. It is political correctness. We didnt monitor the Facebook posting of the female San Bernardino terrorist because the Obama DHS thought it would be inappropriate. She made a public call to jihad, and they didnt target it.The Tsarnaev brothers, the elder brother made a public call to jihad and the Obama administration didnt target it. Nidal Hasan communicated with Anwar al-Awlaki, a known radical cleric, asked about waging jihad against his fellow soldiers. The problem is because of political correctness, the Obama administration, like a lot of folks here, want to search everyones cell phones and e-mails and not focus on the bad guys. And political correctness is killing people.
BLITZER: Thank you. To be clear, Senator Cruz, would you carpet bomb Raqqa, the ISIS capital, where there are a lot of civilians, yes or no?
CRUZ: You would carpet bomb where ISIS is, not a city, but the location of the troops. You use air power directed and you have embedded special forces to direction the air power. But the object isnt to level a city. The object is to kill the ISIS terrorists.To make it listen, ISIS is gaining strength because the perception is that theyre winning. And President Obama fuels that perception. That will change when militants across the globe see that when you join ISIS that you are giving up your life, you are signing your death warrant, and we need a president who is focused on defeating every single ISIS terrorist and protecting the homeland, which should be the first priority.
BLITZER: Thank you. Thank you, Senator.Senator Rubio, youve been critical of Senator Cruzs strategy. You say his voting record doesnt match his rhetoric. Why?"
"25","RUBIO"," Well, let me begin by saying that we have to understand who ISIS is. ISIS is a radical Sunni group. They cannot just be defeated through air strikes. Air strikes are a key component of defeating them, but they must be defeated on the ground by a ground force. And that ground force must be primarily made up of Sunni Arabs themselves, Sunni Arabs that reject them ideologically and confront them militarily.We will have to embed additional American special operators alongside them to help them with training, to help them conduct special missions, and to help improve the air strikes. The air strikes are important, but we need to have an air force capable of it. And because of the budget cuts we are facing in this country, we are going to be left with the oldest and the smallest Air Force we have ever had. We have to reverse those cuts, in addition to the cuts to our Navy and in addition to the cuts to our Army, as well.And beyond that, I would say we must win the information war against ISIS. Every war we have ever been involved in has had a propaganda informational aspect to it. ISIS is winning the propaganda war. They are recruiting people, including Americans, to join them, with the promise that they are joining this great apocalyptic movement that is going to defeat the West. We have to show what life is really like in ISIS territory, and we have to show them why ISIS is not invincible, by going out and conducting these attacks and publicizing them to those who they recruit."
"26","BLITZER"," Because I asked the question, Senator, because you said this. You said he, referring to Senator Cruz, voted against the Defense Authorization Act every year that it came up, and I assume that if he voted against it, he would veto it as president. Thats the bill that funds our troops.
RUBIO: That is accurate. Three times he voted against the Defense Authorization Act, which is a bill that funds the troops. It also, by the way, funds the Iron Dome and other important programs. And I have to assume that if you vote against it in the Senate, you would also veto it as president.He has also supported, by the way, a budget that is called the containment budget. And it is a budget that would radically reduce the amount of money we spend on our military. You cant carpet bomb ISIS if you dont have planes and bombs to attack them with. And if we continue those cuts that were doing now, not to mention additional cuts, we are going to be left with the oldest and the smallest Air Force this country has ever had, and that leaves us less safe."
"27","BLITZER"," Senator Cruz?"
"28","CRUZ"," Well, you know, Marco has continued these attacks, and he knows theyre not true. Yes, it is true that I voted against the National Defense Authorization Act, because when I campaigned in Texas I told voters in Texas that I would oppose the federal government having the authority to detain U.S. citizens permanently with no due process. I have repeatedly supported an effort to take that out of that bill, and I honored that campaign commitment.
CRUZ: But more broadly, you know, the notion Marco is suggesting, that somehow he also has tossed more than a few insults this direction lets be absolutely clear. ISIS and radical Islamic terrorism will face no more determined foe than I will be.We will utterly destroy them by targeting the bad guys. And one of the problems with Marcos foreign policy is he has far too often supported Hillary Clinton and Barack Obama undermining governments in the Middle East that have helped radical Islamic terrorists.We need to focus on killing the bad guys, not getting stuck in Middle Eastern civil wars that dont keep America safe."
"29","BLITZER"," Senator Rubio."
